daytype,day,min,avg,max,stddev
Holiday,0,0.9600,0.9776,0.9877,0.0153
Holiday,1,0.7160,0.8366,0.9118,0.0882
Holiday,2,0.3951,0.6923,0.8133,0.2003
Holiday,3,0.2840,0.5294,0.7733,0.2220
Holiday,4,0.1728,0.3440,0.5867,0.1509
Holiday,5,0.0741,0.2182,0.3067,0.0862
Holiday,6,0.0741,0.1654,0.2632,0.0605
Holiday,7,0.0135,0.1385,0.2368,0.0804
Weekday,0,0.8556,0.9385,0.9747,0.0450
Weekday,1,0.5385,0.6534,0.7722,0.0994
Weekday,2,0.3205,0.4877,0.7215,0.1532
Weekday,3,0.2308,0.4005,0.6800,0.1552
Weekday,4,0.1778,0.3294,0.6533,0.1424
Weekday,5,0.1778,0.2752,0.4267,0.0835
Weekday,6,0.0313,0.2071,0.3182,0.0823
Weekday,7,0.0299,0.1426,0.2727,0.0740
