Mainland China,1401667160
Thailand,66478917
Japan,126010000
"Korea, South",51780579
Taiwan,23604265
US,329413981
Macau,622567
Hong Kong,7500700
Singapore,5703600
Vietnam,96208984
France,67064000
Nepal,29609623
Malaysia,32712760
Canada,37949851
Australia,25639623
Cambodia,15288489
Sri Lanka,21803000
Germany,83149300
Finland,5527573
United Arab Emirates,9770529
Philippines,108376492
India,1359530533
Italy,60247214
United Kingdom,66435600
Russia,146780720
Sweden,10333456
Sweden FHM Excel,10333456
Sweden FHM Arcgis,10333456
Spain,47100396
Belgium,11524454
Others,3700
Egypt,100103288
Iran,83262859
Lebanon,6855713
Iraq,39127900
Oman,4664790
Afghanistan,32225560
Bahrain,1543300
Kuwait,4420110
Algeria,43000000
Croatia,4076246
Switzerland,8586550
Austria,8902600
Israel,9168750
Pakistan,218873520
Brazil,211226388
Georgia,3723464
Greece,10724599
North Macedonia,2077132
Norway,5367580
Romania,19405156
Denmark,5822763
Estonia,1328360
Netherlands,17442281
San Marino,33574
Belarus,9413446
Iceland,364260
Lithuania,2793350
Mexico,126577691
New Zealand,4968679
Nigeria,200963599
Ireland,4921500
Luxembourg,613894
Monaco,383695
Qatar,2747282
Ecuador,17439824
Azerbaijan,10067108
Czech Republic,10681161
Armenia,2957500
Dominican Republic,10358320
Indonesia,266911900
Portugal,10276617
Andorra,77543
Latvia,1906800
Morocco,35832595
Saudi Arabia,34218169
Senegal,16209125
Argentina,44938712
Chile,19107216
Jordan,10631296
Ukraine,41902416
Saint Barthelemy,9793
Hungary,9772756
Faroe Islands,52124
Gibraltar,33701
Liechtenstein,38557
Poland,38386000
Tunisia,11722038
Palestine,4976684
Bosnia and Herzegovina,3301000
Slovenia,2094060
South Africa,58775022
Bhutan,741672
Cameroon,25876000
Colombia,49395678
Costa Rica,5058007
Peru,32131400
Serbia,6963764
Slovakia,5456362
Togo,7538000
Vatican City,799
French Guiana,290691
Malta,493559
Martinique,386486
China,1401667160
United Kingdom,66435600
