daytype,day,share,death_date
Weekday,7,0.06896551724137931034,2020-03-26
Weekday,7,0.03125000000000000000,2020-03-27
Weekday,6,0.03125000000000000000,2020-03-27
Holiday,7,0.17142857142857142857,2020-03-28
Holiday,6,0.17142857142857142857,2020-03-28
Holiday,5,0.25714285714285714286,2020-03-28
Holiday,7,0.23684210526315789474,2020-03-29
Holiday,6,0.26315789473684210526,2020-03-29
Holiday,5,0.28947368421052631579,2020-03-29
Holiday,4,0.34210526315789473684,2020-03-29
Weekday,7,0.27272727272727272727,2020-03-30
Weekday,6,0.31818181818181818182,2020-03-30
Weekday,5,0.31818181818181818182,2020-03-30
Weekday,4,0.31818181818181818182,2020-03-30
Weekday,3,0.40909090909090909091,2020-03-30
Weekday,7,0.17777777777777777778,2020-03-31
Weekday,6,0.20000000000000000000,2020-03-31
Weekday,5,0.20000000000000000000,2020-03-31
Weekday,4,0.20000000000000000000,2020-03-31
Weekday,3,0.26666666666666666667,2020-03-31
Weekday,2,0.42222222222222222222,2020-03-31
Weekday,7,0.16000000000000000000,2020-04-01
Weekday,6,0.20000000000000000000,2020-04-01
Weekday,5,0.30000000000000000000,2020-04-01
Weekday,4,0.38000000000000000000,2020-04-01
Weekday,3,0.50000000000000000000,2020-04-01
Weekday,2,0.54000000000000000000,2020-04-01
Weekday,1,0.74000000000000000000,2020-04-01
Weekday,7,0.02985074626865671642,2020-04-02
Weekday,6,0.11940298507462686567,2020-04-02
Weekday,5,0.17910447761194029851,2020-04-02
Weekday,4,0.29850746268656716418,2020-04-02
Weekday,3,0.35820895522388059701,2020-04-02
Weekday,2,0.46268656716417910448,2020-04-02
Weekday,1,0.65671641791044776119,2020-04-02
Weekday,0,0.92537313432835820896,2020-04-02
Weekday,7,0.17948717948717948718,2020-04-03
Weekday,6,0.25641025641025641026,2020-04-03
Weekday,5,0.30769230769230769231,2020-04-03
Weekday,4,0.37179487179487179487,2020-04-03
Weekday,3,0.56410256410256410256,2020-04-03
Weekday,2,0.71794871794871794872,2020-04-03
Weekday,1,0.76923076923076923077,2020-04-03
Weekday,0,0.97435897435897435897,2020-04-03
Holiday,7,0.16176470588235294118,2020-04-04
Holiday,6,0.16176470588235294118,2020-04-04
Holiday,5,0.20588235294117647059,2020-04-04
Holiday,4,0.29411764705882352941,2020-04-04
Holiday,3,0.41176470588235294118,2020-04-04
Holiday,2,0.75000000000000000000,2020-04-04
Holiday,1,0.91176470588235294118,2020-04-04
Holiday,0,0.98529411764705882353,2020-04-04
Holiday,7,0.07407407407407407407,2020-04-05
Holiday,6,0.07407407407407407407,2020-04-05
Holiday,5,0.07407407407407407407,2020-04-05
Holiday,4,0.17283950617283950617,2020-04-05
Holiday,3,0.28395061728395061728,2020-04-05
Holiday,2,0.39506172839506172840,2020-04-05
Holiday,1,0.71604938271604938272,2020-04-05
Holiday,0,0.98765432098765432099,2020-04-05
Weekday,7,0.15909090909090909091,2020-04-06
Weekday,6,0.15909090909090909091,2020-04-06
Weekday,5,0.15909090909090909091,2020-04-06
Weekday,4,0.15909090909090909091,2020-04-06
Weekday,3,0.25000000000000000000,2020-04-06
Weekday,2,0.37500000000000000000,2020-04-06
Weekday,1,0.57954545454545454545,2020-04-06
Weekday,0,0.85227272727272727273,2020-04-06
Weekday,7,0.15584415584415584416,2020-04-07
Weekday,6,0.22077922077922077922,2020-04-07
Weekday,5,0.22077922077922077922,2020-04-07
Weekday,4,0.22077922077922077922,2020-04-07
Weekday,3,0.22077922077922077922,2020-04-07
Weekday,2,0.31168831168831168831,2020-04-07
Weekday,1,0.53246753246753246753,2020-04-07
Weekday,0,0.97402597402597402597,2020-04-07
Weekday,7,0.10891089108910891089,2020-04-08
Weekday,6,0.23762376237623762376,2020-04-08
Weekday,5,0.30693069306930693069,2020-04-08
Weekday,4,0.30693069306930693069,2020-04-08
Weekday,3,0.30693069306930693069,2020-04-08
Weekday,2,0.33663366336633663366,2020-04-08
Weekday,1,0.53465346534653465347,2020-04-08
Weekday,0,0.94059405940594059406,2020-04-08
Weekday,7,0.13698630136986301370,2020-04-09
Weekday,6,0.24657534246575342466,2020-04-09
Weekday,5,0.41095890410958904110,2020-04-09
Weekday,4,0.64383561643835616438,2020-04-09
Weekday,3,0.67123287671232876712,2020-04-09
Weekday,2,0.68493150684931506849,2020-04-09
Weekday,1,0.72602739726027397260,2020-04-09
Weekday,0,0.95890410958904109589,2020-04-09
Holiday,7,0.15068493150684931507,2020-04-10
Holiday,6,0.15068493150684931507,2020-04-10
Holiday,5,0.28767123287671232877,2020-04-10
Holiday,4,0.57534246575342465753,2020-04-10
Holiday,3,0.76712328767123287671,2020-04-10
Holiday,2,0.80821917808219178082,2020-04-10
Holiday,1,0.82191780821917808219,2020-04-10
Holiday,0,0.95890410958904109589,2020-04-10
Holiday,6,0.13698630136986301370,2020-04-11
Holiday,5,0.16438356164383561644,2020-04-11
Holiday,4,0.31506849315068493151,2020-04-11
Holiday,3,0.64383561643835616438,2020-04-11
Holiday,2,0.80821917808219178082,2020-04-11
Holiday,1,0.89041095890410958904,2020-04-11
Holiday,5,0.11842105263157894737,2020-04-12
Holiday,4,0.18421052631578947368,2020-04-12
Holiday,3,0.28947368421052631579,2020-04-12
Holiday,2,0.56578947368421052632,2020-04-12
Holiday,1,0.88157894736842105263,2020-04-12
Holiday,0,0.97368421052631578947,2020-04-12
Holiday,4,0.09677419354838709677,2020-04-13
Holiday,3,0.11290322580645161290,2020-04-13
Holiday,2,0.27419354838709677419,2020-04-13
Holiday,1,0.66129032258064516129,2020-04-13
Holiday,0,0.96774193548387096774,2020-04-13
Weekday,3,0.06666666666666666667,2020-04-14
Weekday,2,0.18333333333333333333,2020-04-14
Weekday,1,0.48333333333333333333,2020-04-14
Weekday,0,0.91666666666666666667,2020-04-14
Weekday,2,0.18181818181818181818,2020-04-15
Weekday,1,0.25454545454545454545,2020-04-15
Weekday,0,0.89090909090909090909,2020-04-15
Weekday,1,0.35593220338983050847,2020-04-16
Weekday,0,0.83050847457627118644,2020-04-16
Weekday,0,0.80000000000000000000,2020-04-17
